Name,Brand,benzyl acetate,benzyl benzoate,xylene,toulene,Asthma_Trigger
Amazingreen Eau de Parfum,Comme des Garcons,0.02,4.46,43.96,0.17,0
Black Eau de Toilette,Comme des Garcons,5.65,4.34,61.66,2.34,1
Wonderoud Eau de Parfum,Comme des Garcons,0.03,0.17,47.46,0.01,0
Serpentine Eau de Toilette,Comme des Garcons,3.92,25.33,12.28,7.96,0
Floriental Eau de Parfum,Comme des Garcons,0.6,0.68,83.1,1.0,1
Dot Eau de Parfum,Comme des Garcons,0.0,0.46,66.04,0.07,1
Grace by Grace Coddington Eau de Toilette,Comme des Garcons,0.0,0.14,63.26,0.0,1
Muskane Demi Extrait,Nishane,0.02,0.61,62.27,0.47,1
Florane Demi Extrait,Nishane,0.02,0.03,73.11,0.02,1
Lustre Eau de Parfum,Hiram Green Perfumes,0.35,2.44,46.45,0.74,0
L'Eau de Reims,Reims Parfums,0.16,23.28,14.72,1.6,0
Haute Provence Eau de Cologne,PARFUMS DE NICOLAI,0.62,0.76,44.82,0.38,0
Hossegor Eau de Parfum,A Lab on Fire,0.0,0.15,37.04,0.06,0
Ani Extrait de Parfum,Nishane,0.16,0.05,50.11,0.29,1
Unutamam Extrait de Parfum,Nishane,0.0,0.11,95.83,0.04,1
Milano Cento For Him Eau de Toilette,Milano Cento,0.0,0.27,44.59,0.26,0
Douce Amere Eau de Parfum,Serge Lutens,0.0,0.1,79.76,0.57,1
Rahat Loukhoum Eau de Parfum,Serge Lutens,0.0,0.0,95.23,0.0,1
Iris Silver Mist Eau de Parfum,Serge Lutens,1.24,6.05,76.36,1.9,1
Bois Et Musc Eau de Parfum,Serge Lutens,2.86,23.13,17.85,15.83,0
Sarrasins Eau de Parfum,Serge Lutens,0.13,1.43,33.72,1.06,0
Vanilla Vibes Eau de Parfum,Juliette Has a Gun,0.21,4.63,16.21,0.05,0
Winter Palace Eau de Parfum,MEMO,0.0,0.0,98.95,0.0,1
White Peaches Eau de Parfum,Shay & Blue,0.01,0.02,80.09,0.0,1
Sundazed Eau de Parfum,BYREDO,0.0,0.07,17.33,0.01,0
Eau de Minthe Eau de Parfum,Diptyque,0.07,0.23,85.52,0.11,1
Splendiris Eau de Parfum,Dusita,0.01,0.39,76.75,0.0,1
Rose Of No Man's Land Hair Perfume,BYREDO,0.02,10.96,14.09,0.04,0
Malt Eau de Parfum,Akro,0.05,0.18,19.14,0.05,0
Dark Eau de Parfum,Akro,0.0,0.0,99.94,0.0,1
Night Eau de Parfum,Akro,0.0,0.0,79.29,0.11,1
Smoke Eau de Parfum,Akro,0.28,0.26,23.69,0.38,0
Haze Eau de Parfum,Akro,0.0,10.8,74.94,0.78,1
Molecule 02 Eau de Toilette,Escentric Molecules,3.58,15.53,32.52,3.92,0
Escentric 02 Eau de Toilette,Escentric Molecules,0.06,6.48,26.82,0.1,0
Lavender Extreme Eau de Parfum,TOM FORD Private Blend,0.19,3.04,59.25,0.53,1
Bana Banana Eau de Parfum,L'Artisan Parfumeur,0.05,8.57,60.47,2.28,1
Easy To Love Eau de Parfum,Eau d'Italie,0.35,0.03,83.25,1.06,1
Cassili Eau de Parfum,Parfums de Marly,0.23,0.24,40.65,2.29,0
Ganymede Eau de Parfum,Marc-Antoine Barrois,0.04,7.03,60.98,0.3,1
No. 1 Tonic Blanc Eau de Parfum,Thomas Kosmala,0.86,2.78,34.46,0.11,0
No. 2 Seve Nouvelle Eau de Parfum,Thomas Kosmala,0.61,2.38,10.96,0.03,0
No. 3 Crepuscule Ardent Eau de Parfum,Thomas Kosmala,0.71,1.05,4.68,0.29,0
No. 4 Apres l'Amour Eau de Parfum,Thomas Kosmala,12.15,5.59,6.98,0.98,0
No. 5 Frenesie Eau de Parfum,Thomas Kosmala,0.1,2.77,12.85,0.32,0
No. 6 Brume Radieuse Eau de Parfum,Thomas Kosmala,0.12,0.93,13.78,0.7,0
No. 7 Le Sel de la Terre Eau de Parfum,Thomas Kosmala,0.01,0.02,49.7,0.38,1
No. 8 Tonic Vert Eau de Parfum,Thomas Kosmala,0.0,0.04,15.41,0.0,0
No. 9 Bukhoor Elixir de Parfum,Thomas Kosmala,0.01,0.03,71.44,0.04,1
Beaute du Diable Eau de Parfum,Liquides Imaginaires,0.0,0.77,12.48,0.36,0
Oud Monarch Extrait de Parfum,Bortnikoff,1.28,4.01,72.33,1.12,1
Amber Cologne Eau de Parfum,Bortnikoff,4.17,28.66,21.42,3.52,1
Musk Khabib Extrait de Parfum,Bortnikoff,0.14,0.51,64.49,0.32,1
Sensual Instinct Eau de Parfum,Montale,0.16,1.14,69.38,0.43,1
Vetiver Patchouli Eau de Parfum,Montale,0.04,5.47,40.49,0.38,0
Oud Dream Eau de Parfum,Montale,0.0,0.04,2.12,0.0,0
Holy Water Eau de Parfum,La Via Del Profumo,0.0,3.54,0.29,0.06,0
Mecca Balsam Eau de Parfum,La Via Del Profumo,0.01,0.0,79.11,0.0,1
Milano Caffe Eau de Parfum,La Via Del Profumo,0.0,0.28,50.79,0.0,1
Oakmoss Eau de Parfum,La Via Del Profumo,0.67,0.14,39.5,0.03,0
Oud Caravan No. 1 Eau de Parfum,La Via Del Profumo,0.77,4.21,35.46,1.0,0
Oud Caravan No. 2 Eau de Parfum,La Via Del Profumo,4.3,4.67,0.62,5.04,0
Oud Caravan No. 3 Eau de Parfum,La Via Del Profumo,0.26,0.03,72.32,0.26,1
Amber Chocolate Eau de Parfum,La Via Del Profumo,0.0,0.4,67.62,0.03,1
Hindu Kush Eau de Parfum,La Via Del Profumo,0.0,0.0,85.23,0.0,1
Aenotus Parfum Extrait,Puredistance,0.08,7.67,14.18,0.96,0
Tabac Eau de Parfum,La Via Del Profumo,0.0,0.01,93.81,0.01,1
Molecule 03 Eau de Toilette,Escentric Molecules,0.01,0.15,40.96,0.08,0
Escentric 03 Eau de Toilette,Escentric Molecules,1.84,4.74,20.78,2.2,0
Isle of Man Eau de Parfum,Frapin,0.07,5.38,15.59,0.4,0
Desert Suave Eau de Parfum,Liquides Imaginaires,0.01,0.94,28.84,0.39,0
Functional Fragrance,The Nue Co.,0.0,0.02,5.36,0.02,0
Lust In Paradise Eau de Parfum,Ex Nihilo,0.01,1.07,5.53,1.4,0
Hisui (Jade) Eau de Parfum,J-Scent,0.0,0.02,84.06,0.0,1
Shaft of Light Eau de Parfum,J-Scent,0.01,0.09,85.91,0.13,1
Usubeni (Rosy Cheeks) Eau de Parfum,J-Scent,0.06,11.4,40.16,0.25,1
Black Leather Eau de Parfum,J-Scent,0.01,0.03,95.44,0.0,1
Yuzu Eau de Parfum,J-Scent,3.01,3.7,57.76,10.03,1
Sumo Wrestler Eau de Parfum,J-Scent,0.15,0.81,40.42,2.05,0
Yawahada (Soft Skin) Eau de Parfum,J-Scent,0.01,5.95,46.3,1.01,1
Honey & Lemon Eau de Parfum,J-Scent,0.79,2.54,73.9,0.26,1
Roasted Green Tea Eau de Parfum,J-Scent,0.02,0.21,62.86,0.02,1
Agarwood Eau de Parfum,J-Scent,0.01,0.02,74.87,0.05,1
Rakugan (Sugar Sweets) Eau de Parfum,J-Scent,0.01,0.02,34.33,0.05,0
Hanamizake (Cherry Blossom Sake) Eau de Parfum,J-Scent,0.01,9.22,5.36,0.25,0
Paper Soap Eau de Parfum,J-Scent,1.0,1.0,41.88,1.0,0
Hydrangea Eau de Parfum,J-Scent,0.0,0.1,98.9,0.06,1
Elixir Pour Femme Extrait de Parfum,Roja Parfums,0.0,1.51,38.39,0.05,0
Cuir Mauresque Eau de Parfum,Serge Lutens,0.0,0.2,82.53,0.0,1
Chene Eau de Parfum,Serge Lutens,0.04,3.79,55.95,0.63,1
Fumerie Turque Eau de Parfum,Serge Lutens,0.15,1.05,72.08,0.38,1
Muscs Koublai Khan Eau de Parfum,Serge Lutens,0.0,2.95,12.75,0.0,0
Tubereuse Criminelle Eau de Parfum,Serge Lutens,0.06,0.78,89.82,0.62,1
Serge Noire Eau de Parfum - ...,Serge Lutens,0.02,0.15,25.75,0.19,0
Louve Eau de Parfum - ...,Serge Lutens,0.01,0.55,2.06,0.01,0
De Profundis Eau de Parfum,Serge Lutens,0.01,2.53,84.35,0.84,1
Molecule 04 Eau de Toilette,Escentric Molecules,0.08,0.01,89.48,0.69,1
Escentric 04 Eau de Toilette,Escentric Molecules,0.0,0.0,99.57,0.0,1
Sorong Eau de Parfum,"Pierre Guillaume Paris, Parfumerie Generale",0.01,0.02,95.89,0.01,1
Chronic Eau de Parfum,19-69,0.16,0.85,76.46,0.28,1
Capri Eau de Parfum,19-69,0.27,9.84,47.46,0.61,1
Chinese Tobacco Eau de Parfum,19-69,0.01,0.25,87.59,0.03,1
Kasbah Eau de Parfum,19-69,0.0,1.6,90.26,0.04,1
Rainbow Bar Eau de Parfum,19-69,0.2,0.44,50.19,0.69,1
L'air Barbes Eau de Parfum,19-69,0.3,5.36,66.9,0.64,1
Gris Clair Eau de Parfum,Serge Lutens,0.03,0.17,22.32,0.0,0
Fleurs de Citronnier Eau de Parfum,Serge Lutens,0.07,3.08,53.62,0.03,1
L'Homme Aux Gants Eau de Parfum,Parfums MDCI,0.06,0.1,94.57,0.02,1
Bleu Satin Eau de Parfum,Parfums MDCI,0.15,4.16,25.28,0.34,0
Cuir Cavalier Eau de Parfum,Parfums MDCI,0.5,0.64,64.71,3.49,1
Chameleon Eau de Parfum,Zoologist,0.09,1.17,32.64,0.03,0
Dodo Eau de Parfum,Zoologist,0.01,0.01,89.74,0.06,1
Santal Blanc Eau de Parfum,Serge Lutens,0.01,0.14,82.81,0.04,1
City Of Jasmine Extrait de Parfum,Alghabra Parfums,0.03,23.43,13.92,0.02,0
Scent Of Paradise Extrait de Parfum,Alghabra Parfums,0.0,0.07,33.9,0.02,0
From The Heart Extrait de Parfum,Alghabra Parfums,0.0,0.28,62.37,0.23,1
King Of Flowers Extrait de Parfum,Alghabra Parfums,0.08,0.2,18.02,0.2,0
Poem Of Damas Extrait de Parfum,Alghabra Parfums,0.0,0.06,93.09,0.0,1
Boha Parfum Extrait,Jeroboam,0.02,1.28,40.18,0.03,0
Patiala Extrait,Thameen,0.9,4.17,26.89,0.6,0
Escentric 02 - Travel Spray Eau de Toilette,Escentric Molecules,0.0,0.0,97.08,0.0,1
Molecule 04 - Travel Spray Eau de Toilette,Escentric Molecules,0.12,0.57,89.8,0.19,1
Escentric 04 - Travel Spray Eau de Toilette,Escentric Molecules,1.39,15.69,46.17,3.15,1
XJ Amber Gold & Rose Gold Collection Eau de Parfum,Xerjoff,0.0,0.2,89.27,0.0,1
Aura Perfume Oil,Essential Faith,0.0,0.02,25.54,0.04,0
Allende Parfum,Xerjoff,0.03,5.1,35.24,0.0,0
Eau Rose Hair Mist Scented Hair Perfume,Diptyque,0.24,0.51,26.32,0.45,0
Aoud Exclusif Eau de Parfum,Mancera,0.19,0.36,54.07,1.74,1
Jardin Exclusif Eau de Parfum,Mancera,0.0,0.07,34.9,0.0,0
Vanille Exclusive Eau de Parfum,Mancera,0.0,4.18,36.94,0.98,0
Neroli Portofino Travel Atomizer,TOM FORD Private Blend,0.57,20.52,32.6,0.1,1
Oud Wood Travel Atomizer,TOM FORD Private Blend,0.02,6.29,28.48,0.03,0
Soleil Blanc Travel Atomizer,TOM FORD Private Blend,0.0,0.01,4.31,0.02,0
Tobacco Vanille Travel Atomizer,TOM FORD Private Blend,1.25,17.25,6.94,2.28,0
Costa Azzurra Acqua Eau de Toilette,TOM FORD Private Blend,0.13,0.04,94.79,0.09,1
Fabulous Body Spray Scented Body Spray,TOM FORD Private Blend,0.04,0.38,53.14,0.61,1
Vanilla Shot Eau de Parfum,Olfactive Studio,0.0,0.52,87.48,0.06,1
Amber Kiso Eau de Parfum,D.S. and Durga,0.0,0.87,73.67,0.4,1
Amber Teutonic Eau de Parfum,D.S. and Durga,0.0,0.03,1.92,0.0,0
Each Other Eau de Parfum,The House Of Oud,0.0,0.03,88.48,0.04,1
1900 L'Heure de Proust Eau de Parfum,Les Bains Guerbois,0.13,8.49,27.02,0.07,0
Blanc Poudre Eau de Parfum,HEELEY,0.17,0.38,96.41,0.09,1
Sweet Flowers Eau de Parfum,Montale,0.03,0.2,54.84,1.64,1
Bakhoor,Montale,0.05,0.43,7.76,0.01,0
Leather Patchouli Eau de Parfum,Montale,0.16,0.21,51.4,0.02,1
Amber Musk Eau de Parfum,Montale,0.02,1.43,29.05,0.01,0
Mefisto Gentiluomo Eau de Parfum,Xerjoff - Casamorati,0.0,1.1,94.91,0.06,1
Uden Overdose Parfum,Xerjoff,0.04,5.08,35.81,0.4,0
Colognise Extrait de Cologne,Nishane,0.63,1.93,33.67,2.43,0
Savile Eau de Parfum,Keiko Mecheri,0.02,0.25,1.31,0.04,0
Mulholland Eau de Parfum,Keiko Mecheri,0.02,0.5,97.57,0.1,1
Isles Lointaines Eau de Parfum,Keiko Mecheri,0.0,0.23,81.96,0.07,1
Datura Blanche Eau de Parfum,Keiko Mecheri,0.0,1.39,67.86,0.0,1
Sanguine Eau de Parfum,Keiko Mecheri,0.36,1.38,84.14,0.03,1
Clair Obscur Eau de Parfum,Keiko Mecheri,0.01,0.75,88.91,0.0,1
Hanae Eau de Parfum,Keiko Mecheri,0.05,2.48,65.13,0.02,1
Loukhoum Eau de Parfum,Keiko Mecheri,0.03,0.06,94.54,0.01,1
Ume Eau de Parfum,Keiko Mecheri,0.06,0.66,83.71,1.38,1
Irisistible Eau de Parfum,April Aromatics,0.0,0.11,98.9,0.01,1
Kolonya Eau de Toilette,Rasei Fort,0.0,0.0,31.26,0.0,0
Oud for Greatness Eau de Parfum,Initio Parfums,0.03,0.64,31.93,0.08,0
Fougere Platine Eau de Parfum,TOM FORD Private Blend,0.0,0.98,27.39,0.01,0
Hyde Eau de Parfum,Hiram Green Perfumes,0.33,0.06,61.13,0.32,1
Red Square Eau de Parfum,Mad et Len,0.0,0.7,82.53,0.33,1
Noir Encens Eau de Parfum,Mad et Len,1.78,0.03,8.01,0.01,0
Changing Constance Eau de Parfum,Penhaligons,0.97,0.49,88.26,2.27,1
Kampuchea Noire Oud Oil,Xerjoff - XJ Oud Attars,0.05,0.11,84.79,0.02,1
And The World Is Yours Extrait de Parfum,A Lab on Fire,0.12,2.65,68.41,0.38,1
But Not Today Extrait de Parfum,UNUM,1.41,1.88,7.44,1.09,0
Violon Basse 16 Extrait de Parfum,Filippo Sorcinelli - SAUF,0.01,1.87,91.32,0.01,1
Unda Maris 8 Extrait de Parfum,Filippo Sorcinelli - SAUF,0.0,0.18,15.44,0.01,0
L'Heure Exquise 2020 Extrait de Parfum,Bortnikoff,0.01,0.48,65.22,0.12,1
Southern Bloom Perfume Concentrate,Goldfield & Banks,0.02,0.04,48.51,0.12,0
I Am Trash Eau de Parfum,Etat Libre d'Orange,2.28,1.78,13.95,3.66,0
Noble XXI Cypress Parfum,Clive Christian,3.28,18.84,22.58,4.52,0
Champ de Fleurs Eau de Cologne,L'Artisan Parfumeur,0.44,6.86,16.05,15.83,0
Pavillon Rouge Eau de Parfum,Jovoy Paris,0.01,0.03,15.35,0.0,0
Forty Thieves Eau de Parfum,Fort & Manle,0.0,0.49,52.09,0.02,1
Love & Crime Eau de Parfum,Ex Idolo,0.79,7.8,14.77,0.16,0
Dark Lord Eau de Parfum,By Kilian,0.03,0.22,40.48,0.11,0
Princesses de Malabar Eau de Parfum,Lubin,0.31,16.9,7.21,1.06,0
Liquid Illusion Eau de Parfum,Juliette Has a Gun,0.01,0.28,18.6,0.53,0
Love Tuberose Eau de Parfum,Amouage,0.17,0.96,40.86,0.08,0
Tonka 25 Eau de Parfum,Le Labo,0.27,0.85,31.3,0.03,0
Power of 10 Limited Edition- Molecule 02 Eau de Toilette,Escentric Molecules,0.02,16.59,2.82,0.27,0
A Rose For... Eau de Parfum,Floris London,0.01,0.16,63.72,0.0,1
Ruby Perfume Oil,Bruno Acampora,0.0,0.0,99.79,0.0,1
Ruby Extrait Parfum Extrait,Bruno Acampora,0.0,1.45,74.05,0.0,1
Percival Eau de Parfum,Parfums de Marly,0.12,1.33,30.35,0.16,0
Vetiverissimo Eau de Parfum,Bruno Fazzolari,0.29,4.99,43.74,6.16,0
Lucid Dream Eau de Parfum,Ex Idolo,0.0,0.59,29.63,0.62,0
Flash Back In New York Eau de Parfum,Olfactive Studio,0.73,0.33,73.07,3.5,1
Woody Mood Eau de Parfum,Olfactive Studio,0.01,0.52,94.33,0.01,1
Kings Wood Fragrance Concentree,Shay & Blue,0.0,0.0,98.28,0.01,1
Cuir Celeste Eau de Parfum,Ex Nihilo,0.0,8.05,13.13,0.0,0
EO No. 1 EdP Eau de Parfum,Ensar Oud,0.01,2.67,68.9,0.03,1
Tyrannosaurus Rex Extrait de Parfum,Zoologist,0.36,0.92,2.95,0.34,0
Remember Me Eau de Parfum,Jovoy Paris,0.0,0.62,91.81,0.01,1
Le Participe Passe Eau de Parfum,Serge Lutens,0.47,6.37,9.78,0.03,0
Santal Nabataea Eau de Parfum,Mona di Orio,0.0,0.09,23.26,0.0,0
Tokyo Eau de Parfum,Gallivant,0.05,0.29,85.95,0.03,1
34 Boulevard Saint Germain EDP Eau de Parfum,Diptyque,0.0,0.03,98.61,0.0,1
Hemingway Eau de Parfum,Masque Milano,1.9,0.77,35.59,9.99,0
Viking Eau de Parfum,Creed,0.2,2.03,52.32,1.68,1
Geisha Botan - Eau de Parfum,Aroma M,0.0,1.57,22.12,0.01,0
Mizu Eau de Parfum,Di Ser,0.0,5.03,23.39,1.62,0
Imperial Crown Eau de Parfum,Thameen,0.08,4.16,13.47,0.08,0
Sceptre,Thameen,0.27,5.92,7.41,6.12,0
Baccarat Rouge 540 Hair Mist Scented Hair Perfume,Maison Francis Kurkdjian,1.0,16.03,38.34,0.5,1
Tobacco Oud Intense Eau de Parfum,TOM FORD Private Blend,0.02,0.11,78.17,0.04,1
Purple Flowers Eau de Parfum,Mancera,0.05,0.92,14.49,0.3,0
Ruh Eau de Parfum,Pekji,1.91,3.16,49.69,0.21,1
Zeybek Extrait de Parfum,Pekji,0.81,2.18,77.98,0.33,1
Odoon Extrait de Parfum,Pekji,0.03,1.28,95.47,0.21,1
Battaniye Extrait de Parfum,Pekji,0.4,0.76,5.17,0.86,0
Eaumer Eau de Parfum,Pekji,0.55,0.28,67.04,1.53,1
B-612 Extrait de Parfum,Nishane,0.0,0.01,33.07,0.0,0
Vain & Naive Extrait de Parfum,Nishane,0.14,3.72,5.82,0.67,0
Hyouge Eau de Parfum,Parfum Satori,0.01,0.09,82.45,0.22,1
Komorebi Eau de Parfum,"Pierre Guillaume Paris, Parfumerie Generale",0.02,10.5,5.4,0.6,0
Orange X Santal Eau de Parfum,Essential Parfums,0.01,7.41,36.08,6.44,0
Rose Magnetic Eau de Parfum,Essential Parfums,0.02,0.45,23.98,0.28,0
Mon Vetiver Eau de Parfum,Essential Parfums,0.0,0.0,25.67,0.0,0
Nice Bergamote Eau de Parfum,Essential Parfums,0.06,10.46,49.96,0.71,1
The Musc Eau de Parfum,Essential Parfums,0.0,0.03,96.05,0.0,1
Mysterious Oud Extrait de Parfum,Bortnikoff,1.83,4.83,11.16,0.74,0
Ombre Leather Eau de Parfum,TOM FORD Signature,0.22,5.2,71.53,3.95,1
Imitation Man,Amouage,0.02,0.53,2.25,0.21,0
Kazehikaru Eau de Parfum,Di Ser,0.68,2.64,67.47,0.65,1
Zest Marin Eau de Parfum,Fragrance du Bois,0.02,0.16,35.93,1.0,0
Dent de Lait Eau de Parfum,Serge Lutens,0.25,21.81,5.21,0.01,0
Cap Neroli Eau de Toilette,PARFUMS DE NICOLAI,0.1,15.66,30.62,2.94,0
Fougere d'Argent Eau de Parfum,TOM FORD Private Blend,0.0,0.0,81.97,0.0,1
Live In Colors Eau de Parfum,The House Of Oud,0.0,0.05,80.18,0.0,1
Just Before Eau de Parfum,The House Of Oud,0.0,0.08,98.68,0.0,1
I Don't Know What Eau de Parfum,D.S. and Durga,0.08,5.11,70.87,0.31,1
Rehab Extrait de Parfum,Initio Parfums,0.02,0.08,83.96,0.08,1
Blessed Baraka Eau de Parfum,Initio Parfums,0.3,0.41,79.79,0.12,1
Psychedelic Love Eau de Parfum,Initio Parfums,0.23,0.57,93.31,0.02,1
Side Effect Eau de Parfum,Initio Parfums,0.0,0.0,46.8,0.0,0
Grev Extrait de Parfum,Slumberhouse,0.01,0.7,6.08,1.53,0
Adameku Parfum,Di Ser,0.18,0.87,80.74,0.42,1
Bois Sikar Eau de Parfum,Atelier des Ors,0.03,2.39,41.75,0.01,0
Nuda Veritas Eau de Parfum,Atelier des Ors,0.98,16.23,49.74,0.01,1
Crepuscule des Ames Eau de Parfum,Atelier des Ors,0.01,3.27,12.55,0.01,0
Choeur des Anges Eau de Parfum,Atelier des Ors,0.09,20.41,13.28,0.01,0
Gold Incense Eau de Parfum,Mancera,0.27,0.57,47.33,0.25,0
Hindu Kush Eau de Parfum,Mancera,0.36,1.29,46.71,0.65,0
Wild Python Eau de Parfum,Mancera,0.03,0.43,6.08,1.2,0
Hyrax Extrait de Parfum,Zoologist,0.15,0.21,59.39,1.76,1
Bois Dore Eau de Parfum,Van Cleef & Arpels,0.0,0.02,70.41,0.07,1
Knize Ten Face and Body Care Lotion Body / Aftershave ...,Knize,0.18,0.23,47.78,0.2,0
Pikovaya Dama Eau de Parfum,Xerjoff,0.08,0.48,38.02,0.04,0
Amber Intense Eau de Parfum,Fragrance du Bois,0.0,4.37,72.82,0.01,1
Moth Extrait de Parfum,Zoologist,0.12,0.2,53.96,0.04,1
Unsettled Eau de Parfum,Bruno Fazzolari,0.49,0.1,81.89,0.16,1
Viper Green Eau de Parfum,Ex Nihilo,0.0,0.28,97.94,0.01,1
Eau de Cologne,Les Bains Guerbois,0.01,0.04,66.43,0.02,1
1885 Bains Sulfureux Eau de Parfum,Les Bains Guerbois,0.0,0.0,81.86,0.02,1
1978 Les Bains Douches Eau de Parfum,Les Bains Guerbois,2.89,2.68,4.31,7.27,0
2013 Residence d'Artistes Eau de Parfum,Les Bains Guerbois,0.01,0.04,41.88,0.01,0
2015 Le Phenix Eau de Parfum,Les Bains Guerbois,0.0,1.35,78.02,0.0,1
Gelsomini di Capri Eau de Parfum,Carthusia,0.36,0.14,73.4,0.29,1
Lavish Parfum,Boadicea the Victorious,0.14,0.03,87.53,0.1,1
Hallucinogenic Pearl Eau de Parfum,A Lab on Fire,0.01,0.77,71.97,1.33,1
Fior Fiore Eau de Parfum,Eau d'Italie,0.0,0.01,72.23,0.01,1
Terra Mia Eau de Parfum,Carthusia,0.77,6.7,13.42,2.23,0
Nudiflorum Extrait de Parfum,Nasomatto,0.06,0.02,69.99,1.44,1
Erawan Eau de Parfum,Dusita,0.1,1.63,14.7,0.04,0
Fleur de Lalita Eau de Parfum,Dusita,0.02,0.4,33.06,0.45,0
Moscow Mule Eau de Parfum,Juliette Has a Gun,0.01,0.81,93.01,0.1,1
Fantastic Oud Eau de Parfum,Montale,0.02,0.98,60.75,0.12,1
Orris Tattoo Eau de Parfum,Parle Moi de Parfum,0.17,1.47,22.08,0.56,0
Chypre Mojo Eau de Parfum,Parle Moi de Parfum,0.28,2.14,87.79,0.21,1
Heritage Eau de Parfum,Fragrance du Bois,0.22,19.94,54.83,0.15,1
Vanille Benjoin Eau de Parfum,Affinessence Paris,0.01,0.19,99.17,0.01,1
Santal Basmati Eau de Parfum,Affinessence Paris,0.0,0.01,99.1,0.0,1
Cedre Iris Eau de Parfum,Affinessence Paris,1.85,6.44,7.6,0.45,0
Patchouli Oud Eau de Parfum,Affinessence Paris,0.35,7.86,41.16,0.33,0
Musc Ambre Gris Eau de Parfum,Affinessence Paris,0.06,0.07,5.64,0.17,0
Cuir Curcuma Eau de Parfum,Affinessence Paris,0.21,0.18,88.25,0.03,1
Hwyl Eau de Parfum,Aesop,0.07,11.17,55.43,0.14,1
Tempo Eau de Parfum,Diptyque,0.0,0.01,66.25,0.01,1
Fleur de Peau Eau de Parfum,Diptyque,0.16,1.43,73.11,0.03,1
Lost In Flowers Eau de Parfum,Strangelove NYC,0.01,2.02,27.35,0.05,0
Lost In Flowers Oil Perfume Oil,Strangelove NYC,3.76,5.18,35.42,1.47,0
Dead of Night Eau de Parfum,Strangelove NYC,0.02,0.5,47.49,0.34,0
Dead of Night Oil Perfume Oil,Strangelove NYC,3.31,18.94,14.23,0.85,0
Silence the Sea Eau de Parfum,Strangelove NYC,0.01,4.8,23.11,0.17,0
Silence the Sea Oil Perfume Oil,Strangelove NYC,0.02,0.23,98.0,0.06,1
Melt my Heart Eau de Parfum,Strangelove NYC,1.19,3.85,2.64,0.1,0
Melt my Heart Oil Perfume Oil,Strangelove NYC,0.01,4.06,14.05,0.01,0
Wood Infusion Perfume Concentrate,Goldfield & Banks,0.08,0.16,44.01,0.05,0
Desert Rosewood Perfume Concentrate,Goldfield & Banks,0.02,0.11,97.02,0.08,1
Pacific Rock Moss Perfume Concentrate,Goldfield & Banks,0.34,2.73,15.94,0.47,0
White Sandalwood Perfume Concentrate,Goldfield & Banks,0.0,0.41,69.59,0.01,1
Blue Cypress Perfume Concentrate,Goldfield & Banks,0.25,0.99,32.17,2.93,0
Be Careful What You Wish For Parfum Extrait,4160 Tuesdays,0.0,0.0,97.93,0.0,1
Carlisle Eau de Parfum,Parfums de Marly,0.03,0.36,32.37,0.05,0
Orion Extrait de Parfum,Tiziana Terenzi,0.04,0.12,94.85,0.4,1
Chimaera Extrait de Parfum,Tiziana Terenzi,0.42,1.73,69.48,0.89,1
Patchouli Argent Eau de Parfum,Fragrance du Bois,0.22,0.42,43.41,1.42,0
Vanille Banane Eau de Toilette,Comptoir Sud Pacifique,0.0,0.0,82.77,0.0,1
Bibliotheque Eau de Parfum,BYREDO,0.09,6.09,26.81,0.1,0
Impressions de Giverny Eau de Parfum,Fort & Manle,0.23,4.82,14.89,1.57,0
Oud Vert Intense Eau de Parfum,Fragrance du Bois,0.01,0.23,26.34,0.04,0
No.09 Vallee de Farney - Eau de Parfum,Maison Louis Marie,0.0,0.03,30.97,0.0,0
Eau de Soleil Blanc Eau de Toilette,TOM FORD Private Blend,0.26,2.87,86.81,4.24,1
Oud - Extrait de Parfum,Maison Francis Kurkdjian,0.0,27.22,10.98,0.02,0
Oud Silk Mood - Eau de Parfum,Maison Francis Kurkdjian,0.0,0.01,95.23,0.0,1
No.04 Bois de Balincourt - Eau de Parfum,Maison Louis Marie,0.0,0.01,19.13,0.0,0
No.05 Kandilli- Perfume Oil Perfume Oil Roll-On,Maison Louis Marie,0.87,0.31,4.45,0.58,0
Parisian Oud Eau de Parfum,Fragrance du Bois,0.13,1.02,83.84,0.14,1
Fabulous Eau de Parfum,TOM FORD Private Blend,0.0,0.17,76.8,0.02,1
No.04 Bois de Balincourt- Perfume Oil Perfume Oil Roll-On,Maison Louis Marie,0.2,1.91,50.16,1.87,1
No.09 Vallee de Farney- Perfume Oil Perfume Oil Roll-On,Maison Louis Marie,0.0,5.74,56.23,0.38,1
No.10 Aboukir- Perfume Oil Perfume Oil Roll-On,Maison Louis Marie,0.58,4.03,39.27,2.64,0
Antidris Cassis- Perfume Oil Perfume Oil Roll-On,Maison Louis Marie,0.04,0.49,13.63,0.16,0
No.02 Le Long Fond - Eau de Parfum,Maison Louis Marie,0.0,0.0,95.73,0.0,1
Antidris Cassis - Eau de Parfum,Maison Louis Marie,4.27,1.87,25.18,0.07,0
Black Gold Eau de Parfum,Mancera,0.01,0.05,15.5,0.47,0
AnOther 13 Eau de Parfum,Le Labo,0.03,1.24,56.33,0.02,1
Vanille Fatale Eau de Parfum,TOM FORD Private Blend,0.19,12.2,44.06,0.09,1
Tsuki Eau de Parfum,Di Ser,0.86,0.83,77.35,0.43,1
